Date,Name,locations,Founded,Employees,Skill,About,Link
2024-Mar-07,Aakash Edutech - Data Engineer,Chennai,Founded in 2008 , 500 - 1000 employees,"Python, PySpark, AWS Glue, AWS CloudFormation, CI - CD",Aakash Digital is an e-learning platform introduced by Aakash Educational Services Ltd. that helps students prepare for national and state-level medical and engineering entrance exams along with CBSE board exams.,https://www.instahyre.com/job-306383-data-engineer-at-aakash-edutech-chennai/
2024-Mar-07,Aakash Edutech - Data Engineer,,Founded in 2008 , 500 - 1000 employees,"Python, Power BI, PySpark, Databricks, Data Analysis",Aakash Digital is an e-learning platform introduced by Aakash Educational Services Ltd. that helps students prepare for national and state-level medical and engineering entrance exams along with CBSE board exams.,https://www.instahyre.com/job-306379-data-engineer-at-aakash-edutech-chennai/
2024-Mar-07,AiSensy - QA Engineer,Chennai,Founded in 2020 , 10 - 50 employees,"Python, Selenium, Automation Testing","AiSensy is a WhatsApp business API and engagement platform that broadcast WhatsApp messages seamlessly, automates notifications for delivery, payments, or offers, and solves support using live chat and chatbots.",https://www.instahyre.com/job-306227-qa-engineer-at-aisensy-gurgaon/
2024-Mar-07,Blackstraw.ai - Lead - Data Scientist,,Founded in 2018 , 10 - 50 employees,"Python, Azure, Flask, PySpark, pytest","Blackstraw.ai is an IT & Services company that provides services related to real-world AI implementations, specializing in predictive analytics, data science, deep learning, etc.",https://www.instahyre.com/job-306319-lead-data-scientist-at-blackstraw-chennai/
2024-Mar-07,Bristol Myers Squibb - Cloud Computing,Gurgaon,Founded in 1887 , More than 1000 employees,"Python, AWS, Terraform",Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,https://www.instahyre.com/job-306214-cloud-computing-at-bristol-myers-squibb-hyderabad/
2024-Mar-07,Crunchyroll - Senior Data Engineer,,Founded in 2006 , More than 1000 employees,"Python, SQL, Spark, Google Cloud, Tableau","Crunchyroll is a subscription-based anime and manga streaming platform with access to 1,000+ titles and 30,000 episodes of anime across 15 platforms including various gaming consoles, operating 12 offices globally.",https://www.instahyre.com/job-306289-senior-data-engineer-at-crunchyroll-hyderabad/
2024-Mar-07,Edra Labs - Backend Engineer,Chennai,Founded in 2023 , 10 - 50 employees,"Python, Java, Golang, Node.js, Ruby",Edra Labs is an early-stage IT startup in the B2B and B2C market segments building world-class tech products that empower brands and enterprises to streamline their business processes and scale their profitability.,https://www.instahyre.com/job-306398-backend-engineer-at-edra-labs-mumbai/
2024-Mar-07,Edra Labs - Senior Software Engineer,,Founded in 2023 , 10 - 50 employees,"Python, Java, Node.js, Golang, Ruby",Edra Labs is an early-stage IT startup in the B2B and B2C market segments building world-class tech products that empower brands and enterprises to streamline their business processes and scale their profitability.,https://www.instahyre.com/job-306399-senior-software-engineer-at-edra-labs-mumbai/
2024-Mar-07,FedEx - Senior Data Analyst,Hyderabad,Founded in 1973 , More than 1000 employees,"Python, Data Analysis, Power BI, AWS, Azure","Find is a mobile app (iOS, Android) which lets users browse and buy fashion apparel from nearby brand stores. Offers same-day delivery with an at-home trial at a convenience fee. Started by founders of ShopSense.",https://www.instahyre.com/job-306222-senior-data-analyst-at-fedex-hyderabad/
2024-Mar-07,FedEx - Senior Data Scientist,,Founded in 1973 , More than 1000 employees,"Python, Power BI, ETL, Informatica, Machine Learning","Indigrators is a software development company that offers a range of services like product development, enterprise solutions implementation, and global customer support across different time zones and industries.",https://www.instahyre.com/job-306228-senior-data-scientist-at-fedex-hyderabad/
2024-Mar-07,Fynd - SDE2,Hyderabad,Founded in 2012 , 50 - 200 employees,"Python, Django, Flask","InFoCusp is an AI-led software engineering company that works on industrial and commercial projects in the fields of wearable computing, machine learning / deep learning, business intelligence, and computer vision.",https://www.instahyre.com/job-306369-sde2-at-fynd-mumbai/
2024-Mar-07,Indigrators Solutions - Senior Python Developer,,Founded in 2023 , 10 - 50 employees,"Python, Django, Flask, AWS, Microservices","Kenvue is a healthcare company and a subsidiary of Johnson & Johnson, it operates popular brands like Aveeno, Band-Aid, Benadryl, Johnson's Baby, Listerine, Mylanta, Neutrogena, Tylenol, and Visine.",https://www.instahyre.com/job-306261-senior-python-developer-at-indigrators-solutions-hyderabad/
2024-Mar-07,InFoCusp Innovations - Senior Software Engineer,Mumbai,Founded in 2009 , 50 - 200 employees,"Python, JavaScript, Scala, Angular, Flask, Node.js, React.js",Kognitos is a software development organization and natural language automation platform that aims to bring the power of programming for all and to offer hyper-automation for a vast range of verticals.,https://www.instahyre.com/job-306215-senior-software-engineer-at-infocusp-innovations-ahmedabad-pune/
2024-Mar-07,Kenvue - Senior Engineer (Kubernetes),,Founded in 2022 , More than 1000 employees,"Python, DevOps, AWS, Terraform, Shell Scripting","Kool Koders is an IT company that offers result-oriented digital solutions for web and mobile app development, UI/UX design, and cloud consulting to startups, SMEs, and large-scale enterprises.",https://www.instahyre.com/job-306361-senior-engineer-kubernetes-at-kenvue-bangalore/
2024-Mar-07,Kognitos - Backend Developer,Mumbai,Founded in 2021 , 10 - 50 employees,"Python, Data Structures, Algorithms, AWS","Link Labs offers various solutions and services in the field of mobile and web applications development, cloud computing, data science and analytics, game development, IoT, API integrations, web design, and more.",https://www.instahyre.com/job-306366-backend-developer-at-kognitos-bangalore/
2024-Mar-07,Kool Koders - Python Developer,,Founded in 2017 , 10 - 50 employees,"Python, JavaScript, Django, CI - CD, AWS","Neutrino is a technology service and management consulting firm specializing in the field of automation and performance solutions, AI, application development, DevOps, data science, QA and testing, etc.",https://www.instahyre.com/job-306311-python-developer-at-kool-koders-navi-mumbai/
2024-Mar-07,Link Labs - Software Engineer (Cloud),Hyderabad,Founded in 2017 , 0 - 10 employees,"Python, GraphQL, React.js, Kanban, Scrum","RMS Tech is a telecom service provider whose product offerings include internet leased lines, toll-free numbers, call center dialers, and more targeted to all kinds of enterprises, organizations, and institutions.",https://www.instahyre.com/job-306308-software-engineer-cloud-at-link-labs-bangalore/
2024-Mar-07,Neutrino Tech Systems - ML Engineer,,Founded in 2018 , 50 - 200 employees,"Python, Machine Learning, BigQuery, Docker, Terraform",Tekion is building a cloud platform to transform the automotive retail industry. Their technology empowers automotive retail to deliver uncompromised and unparalleled customer experiences.,https://www.instahyre.com/job-306300-ml-engineer-at-neutrino-tech-systems-pune/
2024-Mar-07,RMS Tech Solutions - Full Stack Developer,Hyderabad,Founded in 2019 , 0 - 10 employees,"Python, Django, JavaScript, Linux, Git",No Info,https://www.instahyre.com/job-306233-full-stack-developer-at-rms-tech-solutions-pune/
2024-Mar-07,Tekion - Data Science Lead,,Founded in 2016 , More than 1000 employees,"Python, NLP, Computer Vision, GEN, Azure",No Info,https://www.instahyre.com/job-306425-data-science-lead-at-tekion-bangalore/
